,Negin,Xiaoyan,Sanjna,Negin-Sanjna-diff,Negin-Xiaoyan-diff,Xiaoyan-Sanjna-diff,rowwise_std,text
56109995,11.0,11.0,2.0,9.0,0.0,9.0,5.196152422706632,"-JOHN DOE- managed money and lost millions, then was able to manage Soros money. How? #sick URL"
1596743493,11.0,3.0,2.0,9.0,8.0,1.0,4.932882862316247,"Charlie Sheen, <OTHER TARGET 1> and <OTHER TARGET 2> walk into -JOHN DOE-'s office. ""We've got an act, you're gonna love it..."""
68825784,11.0,3.0,2.0,9.0,8.0,1.0,4.932882862316247,"Charlie Sheen, <OTHER TARGET 1> and -JOHN DOE- walk into <OTHER TARGET 3>'s office. ""We've got an act, you're gonna love it..."""
245287744,11.0,3.0,2.0,9.0,8.0,1.0,4.932882862316247,"Charlie Sheen, -JOHN DOE- and <OTHER TARGET 2> walk into <OTHER TARGET 3>'s office. ""We've got an act, you're gonna love it..."""
1258039801,11.0,3.0,3.0,8.0,8.0,0.0,4.618802153517007,"Adding: I'm really curious if -JOHN DOE- et al. who've been exposed since <OTHER TARGET 2> were also on the samizdat ""Shitty Media Men"" email…"
-481791999,11.0,7.0,2.0,9.0,4.0,5.0,4.509249752822894,They could just use footage of Robert Baratheon as Trump and the Imp as -JOHN DOE-
-24103791,6.0,11.0,2.0,4.0,5.0,9.0,4.509249752822894,"taking tweet down was wrong #Mika covered #-JOHN DOE- first few moments of show,retracting all tweets accusing #mornjoe non-cover"
1259184866,11.0,4.0,3.0,8.0,7.0,1.0,4.358898943540674,"Adding: I'm really curious if <OTHER TARGET 1> et al. who've been exposed since -JOHN DOE- were also on the samizdat ""Shitty Media Men"" email…"
-2022948690,11.0,5.0,3.0,8.0,6.0,2.0,4.163331998932266,"Charlie Sheen, Dan Schneider, Woody Allen, Roman Polanski, <OTHER TARGET 2>, and -JOHN DOE-."
-1256208532,11.0,5.0,3.0,8.0,6.0,2.0,4.163331998932266,"Charlie Sheen, Dan Schneider, Woody Allen, Roman Polanski, -JOHN DOE-, and <OTHER TARGET 1>."
518835762,11.0,6.0,3.0,8.0,5.0,3.0,4.041451884327381,"Don't forget your promise if and when names get named. From the original @KUNC report: ""It’s a well known fact across the building that people like Rep. -JOHN DOE- and a number of Senate Republicans have all behaved in a way..."" #copolitics #coleg"
1511177379,11.0,5.0,4.0,7.0,6.0,1.0,3.7859388972001824,"Fun game: watching to see how many of my exes defend/excuse -JOHN DOE-. So far, it's 100%."
263395990,8.0,5.0,1.0,7.0,3.0,4.0,3.511884584284246,"executive. -JOHN DOE- represents an extensive client list that includes <OTHER TARGET 3> and <OTHER TARGET 2>, both of whom have been accused of sexual"
1257442101,7.0,11.0,4.0,3.0,4.0,7.0,3.511884584284246,"Typical democrats. Deflect from the REAL story, anything to get everyone off -JOHN DOE- story. This story is not going away."
-1547060031,11.0,5.0,5.0,6.0,6.0,0.0,3.4641016151377544,I believe there was definite proof of misdoing with -JOHN DOE-.....there is only alleged alligations with moore.....smh
-1550360165,6.0,7.0,1.0,5.0,1.0,6.0,3.214550253664318,-JOHN DOE- jerking off into a shrimp cocktail was NOT the first thing I should have read about this morning. *heave*
96453593,8.0,6.0,2.0,6.0,2.0,4.0,3.055050463303893,"executive. <OTHER TARGET 1> represents an extensive client list that includes <OTHER TARGET 3> and -JOHN DOE-, both of whom have been accused of sexual"
1529605321,8.0,6.0,2.0,6.0,2.0,4.0,3.055050463303893,"executive. <OTHER TARGET 1> represents an extensive client list that includes -JOHN DOE- and <OTHER TARGET 2>, both of whom have been accused of sexual"
1098044723,1.0,7.0,4.0,3.0,6.0,3.0,3.0,Did they not know who -JOHN DOE- was before the hired him? URL
530409354,8.0,2.0,5.0,3.0,6.0,3.0,3.0,How bad are Democrats who won't even say that they'll make Senator <OTHER TARGET 1> step down if he's found guilty? The accusations against -JOHN DOE- are coming on the heels of multiple leftist Dem and libs being found guilty of sexual assault and rape. You're a hypocrite!
